Fecha,Nombre de entrenamiento,Duración,Nombre del ejercicio,Orden de la serie,Peso,Rep.,Distancia,Segundos,Notas,Notas del entrenamiento,RPE
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Flat Leg Raise",1,0,12.0,0,0.0,"","",
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Flat Leg Raise",2,0,13.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Flat Leg Raise",3,0,15.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Seated Palms Up Wrist Curl (Dumbbell)",1,20.0,12.0,0,0.0,"",,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Seated Palms Up Wrist Curl (Dumbbell)",2,20.0,12.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Triceps Extension (Dumbbell)",1,30.0,10.0,0,0.0,"",,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Triceps Extension (Dumbbell)",2,30.0,10.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Triceps Extension (Dumbbell)",3,30.0,10.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Bench Dip",1,0.0,8.0,0,0.0,"",,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Bench Dip",2,0.0,10.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Bench Dip",3,0.0,12.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Lateral Raise (Dumbbell)",1,15.0,10.0,0,0.0,"",,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Lateral Raise (Dumbbell)",2,15.0,10.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Lateral Raise (Dumbbell)",3,15.0,10.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Lateral Raise (Dumbbell)",4,15.0,10.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Neck Curl",1,0,15.0,0,0.0,"",,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Neck Curl",2,0,15.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Neck Curl",3,0,15.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Push Up (Diamond)",1,0,5.0,0,0.0,"",,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Push Up (Diamond)",2,0,5.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Push Up (Diamond)",3,0,5.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Push Up (Diamond)",4,0,5.0,0,0.0,,,
2022-04-17 22:09:15,"At-Home DB/Body Push",1 h 46 min,"Push Up (Diamond)",5,0,5.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Shrug (Dumbbell)",1,30.0,12.0,0,0.0,"","",
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Shrug (Dumbbell)",2,35.0,12.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Shrug (Dumbbell)",3,35.0,12.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Hammer Curl (Dumbbell)",1,30.0,12.0,0,0.0,"",,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Hammer Curl (Dumbbell)",2,30.0,12.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Hammer Curl (Dumbbell)",3,30.0,12.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Bent Over Row (Dumbbell)",1,25.0,7.0,0,0.0,"",,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Bent Over Row (Dumbbell)",2,25.0,7.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Bent Over Row (Dumbbell)",3,30.0,7.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Bent Over Row (Dumbbell)",4,30.0,7.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Bent Over Row (Dumbbell)",5,30.0,7.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Bent Over Row (Dumbbell)",6,30.0,7.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Flat Leg Raise",1,0,15.0,0,0.0,"",,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Flat Leg Raise",2,0,12.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Flat Leg Raise",3,0,15.0,0,0.0,,,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Seated Palms Up Wrist Curl (Dumbbell)",1,20.0,12.0,0,0.0,"",,
2022-04-18 19:17:03,"At Home DB/Body Pull",59 min,"Seated Palms Up Wrist Curl (Dumbbell)",2,20.0,12.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Flat Leg Raise",1,0,15.0,0,0.0,"","",
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Flat Leg Raise",2,0,15.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Flat Leg Raise",3,0,15.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Neck Curl",1,0,15.0,0,0.0,"",,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Neck Curl",2,0,18.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Neck Curl",3,0,15.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Standing Calf Raise (Dumbbell)",1,30.0,15.0,0,0.0,"",,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Standing Calf Raise (Dumbbell)",2,30.0,15.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Hip Thrust (Bodyweight)",1,0,15.0,0,0.0,"",,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Hip Thrust (Bodyweight)",2,0,15.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Hip Thrust (Bodyweight)",3,0,15.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Squat (Bodyweight)",1,0,8.0,0,0.0,"",,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Squat (Bodyweight)",2,0,8.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Squat (Bodyweight)",3,0,8.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Squat (Bodyweight)",4,0,8.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Squat (Bodyweight)",5,0,8.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Step-up",1,0,8.0,0,0.0,"",,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Step-up",2,0,8.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Step-up",3,0,8.0,0,0.0,,,
2022-04-19 19:00:38,"At Home DB/Body Legs",56 min,"Step-up",4,0,8.0,0,0.0,,,
